HRAS	chr11:532240-532521	1131	0
HRAS	chr11:532631-532751	853	0
HRAS	chr11:533451-533611	963	0
HRAS	chr11:533764-533943	984	0
HRAS	chr11:534210-534374	990	0
HRAS	chr11:535414-535591	128	0
PARN	chr16:14435699-14436771	1156	0
PARN	chr16:14446886-14447080	1119	0
PARN	chr16:14482636-14482826	1064	0
PARN	chr16:14552019-14552139	789	0
PARN	chr16:14554041-14554161	775	0
PARN	chr16:14555594-14555714	548	0
PARN	chr16:14580824-14580944	668	0
PARN	chr16:14582174-14582294	835	0
PARN	chr16:14584319-14584439	805	0
PARN	chr16:14584673-14584793	704	0
PARN	chr16:14586288-14586408	851	0
PARN	chr16:14593278-14593398	769	0
PARN	chr16:14599845-14599965	667	0
PARN	chr16:14604107-14604227	801	0
PARN	chr16:14606459-14606579	395	0
PARN	chr16:14608236-14608356	544	0
PARN	chr16:14609010-14609130	769	0
PARN	chr16:14610642-14610808	1079	0
PARN	chr16:14617575-14617695	752	0
PARN	chr16:14627096-14627216	795	0
PARN	chr16:14627227-14627347	958	0
PARN	chr16:14628136-14628256	767	0
PARN	chr16:14629577-14629697	827	0
PARN	chr16:14630105-14630259	638	0
PRPF8	chr17:1650627-1650955	1035	0
PRPF8	chr17:1651106-1651309	1140	0
PRPF8	chr17:1651412-1651552	1037	0
PRPF8	chr17:1651646-1651787	834	0
PRPF8	chr17:1653540-1653682	897	0
PRPF8	chr17:1653775-1654015	1233	0
PRPF8	chr17:1655348-1655542	983	0
PRPF8	chr17:1656390-1656564	1049	0
PRPF8	chr17:1656643-1656763	875	0
PRPF8	chr17:1658255-1658375	872	0
PRPF8	chr17:1658524-1658762	1096	0
PRPF8	chr17:1659355-1659547	1089	0
PRPF8	chr17:1659839-1660000	1128	0
PRPF8	chr17:1660430-1660577	960	0
PRPF8	chr17:1660701-1660821	993	0
PRPF8	chr17:1660991-1661161	1134	0
PRPF8	chr17:1661269-1661405	1055	0
PRPF8	chr17:1661609-1661789	1213	0
PRPF8	chr17:1661904-1662152	896	0
PRPF8	chr17:1673077-1673197	950	0
PRPF8	chr17:1673355-1673566	1154	0
PRPF8	chr17:1673744-1673891	936	0
PRPF8	chr17:1674440-1674679	1157	0
PRPF8	chr17:1675150-1675338	1055	0
PRPF8	chr17:1675618-1675811	1100	0
PRPF8	chr17:1675929-1676049	924	0
PRPF8	chr17:1676205-1676369	1084	0
PRPF8	chr17:1676503-1676710	1137	0
PRPF8	chr17:1676974-1677171	1204	0
PRPF8	chr17:1677568-1677688	749	0
PRPF8	chr17:1678516-1678651	925	0
PRPF8	chr17:1678760-1678880	1077	0
PRPF8	chr17:1679015-1679205	1137	0
PRPF8	chr17:1679289-1679409	849	0
PRPF8	chr17:1679607-1679798	1017	0
PRPF8	chr17:1680717-1680837	857	0
PRPF8	chr17:1680930-1681050	899	0
PRPF8	chr17:1681476-1681689	977	0
PRPF8	chr17:1681818-1682037	1121	0
PRPF8	chr17:1682127-1682292	1057	0
PRPF8	chr17:1683531-1683700	1063	0
PRPF8	chr17:1684465-1684585	753	0
PRPF8	chr17:1684777-1684897	902	0
SUZ12	chr17:31940406-31940526	1375	590
STAT5B	chr17:42218721-42218877	1414	499
STAT5B	chr17:42219310-42219462	1777	395
ELANE	chr19:852296-852416	765	13
ELANE	chr19:852874-853031	836	49
ELANE	chr19:853260-853402	922	26
ELANE	chr19:855562-855793	1120	0
ELANE	chr19:855956-856242	1141	0
